Timestamp,Type,X,Y,Z
1767308068186,ACC,2.1380222,-2.1859062,9.361329
1767308068226,ACC,2.0733786,-2.135628,9.370906
1767308068265,ACC,2.0326772,-2.1643584,9.315839
1767308068306,ACC,2.099715,-2.1188686,9.354146
1767308068346,ACC,2.0685902,-2.1428106,9.44752
1767308068387,ACC,2.0518308,-2.1284454,9.404425
1767308068427,ACC,2.0350714,-2.1523874,9.368511
1767308068467,ACC,2.0350714,-2.0757728,9.334992
1767308068507,ACC,1.9752164,-2.1332338,9.423578
1767308068547,ACC,2.0949266,-2.1308396,9.361329
1767308068587,ACC,2.030283,-2.1308396,9.337387
1767308068627,ACC,2.111686,-2.1978772,9.382876
1767308068667,ACC,2.0231004,-2.1763294,9.397242
1767308068708,ACC,2.0709844,-2.15957,9.380483
1767308068748,ACC,2.0566192,-2.1212628,9.356541
1767308068789,ACC,2.0757728,-2.099715,9.370906
1767308068828,ACC,1.9967642,-2.1140802,9.349358
1767308068871,ACC,2.006341,-2.0853498,9.344569
1767308068874,HR,46.0,0.0,0.0
1767308068907,ACC,2.0638018,-2.1380222,9.40203
1767308068946,ACC,2.0254946,-2.123657,9.330204
1767308068986,ACC,2.0231004,-2.135628,9.382876
1767308069026,ACC,2.0254946,-2.1452048,9.356541
1767308069068,ACC,2.0374656,-2.1021092,9.332599
1767308069108,ACC,2.0590134,-2.0566192,9.3421755
1767308069149,ACC,1.9800048,-2.099715,9.358934
1767308069190,ACC,2.054225,-2.0853498,9.3661175
1767308069229,ACC,2.078167,-2.171541,9.361329
1767308069270,ACC,2.0254946,-2.1332338,9.385271
1767308069310,ACC,2.0015526,-2.1284454,9.349358
1767308069350,ACC,2.0638018,-2.111686,9.361329
1767308069391,ACC,2.0135236,-2.0829554,9.337387
1767308069430,ACC,2.0398598,-2.0973208,9.390059
1767308069471,ACC,2.0278888,-2.111686,9.454702
1767308069510,ACC,2.0733786,-2.1164744,9.344569
1767308069551,ACC,1.9991584,-2.147599,9.423578
1767308069590,ACC,2.0254946,-2.123657,9.361329
1767308069631,ACC,1.9847932,-1.9919758,9.382876
1767308069671,ACC,2.0853498,-2.1523874,9.40203
1767308069711,ACC,2.0087352,-2.1212628,9.334992
1767308069752,ACC,2.0207062,-2.054225,9.339781
1767308069792,ACC,2.0039468,-2.111686,9.394848
1767308069832,ACC,1.9871874,-2.1452048,9.399636
1767308069872,ACC,2.0278888,-2.1284454,9.361329
1767308069877,HR,46.0,0.0,0.0
1767308069913,ACC,2.0087352,-2.1547816,9.375694
1767308069953,ACC,2.0685902,-2.1164744,9.380483
1767308069993,ACC,2.0638018,-2.147599,9.325416
1767308070032,ACC,1.9656396,-2.1547816,9.387665
1767308070073,ACC,2.054225,-2.2170308,9.356541
1767308070113,ACC,2.018312,-2.1188686,9.375694
1767308070153,ACC,2.0518308,-2.183512,9.41879
1767308070194,ACC,2.0566192,-2.1906946,9.351752
1767308070234,ACC,2.006341,-2.1691468,9.330204
1767308070274,ACC,2.0614076,-2.1428106,9.378088
1767308070314,ACC,2.0087352,-2.195483,9.330204
1767308070354,ACC,2.0326772,-2.2409728,9.44752
1767308070395,ACC,2.054225,-2.1978772,9.378088
1767308070435,ACC,1.9895816,-2.2337902,9.31105
1767308070474,ACC,2.0446482,-2.1068976,9.354146
1767308070515,ACC,2.0087352,-2.1452048,9.325416
1767308070555,ACC,2.0638018,-2.183512,9.330204
1767308070595,ACC,2.0518308,-2.1404164,9.354146
1767308070636,ACC,1.99437,-2.207454,9.387665
1767308070676,ACC,2.0039468,-2.2266076,9.301474
1767308070716,ACC,2.054225,-2.1739352,9.320627
1767308070756,ACC,1.9632454,-2.1906946,9.394848
1767308070795,ACC,2.042254,-2.1978772,9.416395
1767308070837,ACC,1.9991584,-2.1188686,9.368511
1767308070876,ACC,2.0470424,-2.1787236,9.339781
1767308070881,HR,46.0,0.0,0.0
1767308070916,ACC,1.9847932,-2.2026656,9.392453
1767308070957,ACC,2.018312,-2.2098482,9.320627
1767308070997,ACC,2.0805612,-2.1404164,9.3421755
1767308071037,ACC,2.042254,-2.1883004,9.368511
1767308071077,ACC,2.087744,-2.1404164,9.346964
1767308071117,ACC,2.030283,-2.1212628,9.370906
1767308071158,ACC,2.0350714,-2.1811178,9.363723
1767308071199,ACC,2.054225,-2.1691468,9.315839
1767308071237,ACC,2.0709844,-2.1308396,9.40203
1767308071278,ACC,2.030283,-2.1140802,9.325416
1767308071318,ACC,1.9847932,-2.2170308,9.346964
1767308071358,ACC,2.0805612,-2.1811178,9.332599
1767308071399,ACC,2.0494366,-2.2146366,9.423578
1767308071439,ACC,2.0159178,-2.1523874,9.3421755
1767308071479,ACC,2.1308396,-2.1763294,9.3733
1767308071519,ACC,2.0159178,-2.1380222,9.325416
1767308071559,ACC,2.0278888,-2.2505496,9.358934
1767308071600,ACC,2.0039468,-2.1499932,9.320627
1767308071640,ACC,2.0709844,-2.1499932,9.267955
1767308071680,ACC,2.054225,-2.1547816,9.392453
1767308071720,ACC,2.0494366,-2.1308396,9.356541
1767308071759,ACC,1.9919758,-2.1452048,9.354146
1767308071799,ACC,2.0087352,-2.1930888,9.378088
1767308071840,ACC,2.0087352,-2.1380222,9.445126
1767308071880,ACC,2.054225,-2.1380222,9.32781
1767308071886,HR,45.0,0.0,0.0
1767308071921,ACC,2.0159178,-2.1452048,9.339781
1767308071960,ACC,2.0278888,-2.2098482,9.354146
1767308072000,ACC,1.99437,-2.2218192,9.390059
1767308072042,ACC,2.0398598,-2.1404164,9.387665
1767308072081,ACC,1.970428,-2.1859062,9.3733
1767308072121,ACC,2.0135236,-2.123657,9.263166
1767308072161,ACC,2.0374656,-2.135628,9.423578
1767308072202,ACC,2.0135236,-2.1021092,9.3661175
1767308072242,ACC,2.0254946,-2.2026656,9.368511
1767308072282,ACC,1.970428,-2.1787236,9.346964
1767308072322,ACC,2.0111294,-2.1523874,9.390059
1767308072363,ACC,2.0638018,-2.1547816,9.3733
1767308072403,ACC,2.0685902,-2.1284454,9.349358
1767308072443,ACC,2.0326772,-2.195483,9.354146
1767308072483,ACC,1.99437,-2.1092918,9.3661175
1767308072523,ACC,2.1428106,-2.1188686,9.43076
1767308072563,ACC,2.0757728,-2.1332338,9.397242
1767308072604,ACC,2.030283,-2.171541,9.370906
1767308072642,ACC,2.0685902,-2.1883004,9.3733
1767308072683,ACC,2.0685902,-2.171541,9.399636
1767308072724,ACC,2.087744,-2.0805612,9.301474
1767308072763,ACC,2.0757728,-2.1428106,9.380483
1767308072805,ACC,2.0709844,-2.0973208,9.382876
1767308072844,ACC,2.0709844,-2.1188686,9.339781
1767308072885,ACC,1.9991584,-2.1045034,9.349358
1767308072889,HR,45.0,0.0,0.0
1767308072925,ACC,2.0231004,-2.1212628,9.378088
1767308072965,ACC,2.0398598,-2.1068976,9.404425
1767308073005,ACC,2.0254946,-2.1643584,9.399636
1767308073044,ACC,2.0207062,-2.1188686,9.363723
1767308073086,ACC,1.9847932,-2.0949266,9.361329
1767308073125,ACC,2.0231004,-2.1164744,9.351752
1767308073166,ACC,1.9919758,-2.1452048,9.414001
1767308073206,ACC,2.0231004,-2.1619642,9.411607
1767308073246,ACC,2.0039468,-2.1068976,9.354146
1767308073286,ACC,2.0374656,-2.15957,9.320627
1767308073326,ACC,2.0949266,-2.135628,9.397242
1767308073367,ACC,2.0446482,-2.1092918,9.370906
1767308073407,ACC,2.0374656,-2.1859062,9.378088
